headed,seed,steps,n_sites,kappa,omega_L,omega_R,theta_crit,burst_count,mean_Theta,mean_Theta_late,rms_dTheta,rms_dTheta_late,residual_R,mean_alpha,pointer_rms,burn_in_steps,first_mean_pi,first_mean_tcrit,first_burst_step,wg_target,wg_lock,phi_b_target,phi_b_lock
True,0,5000,96,0.85,0.025,0.0225,5.811946409141117,8,3.1414697325850565,3.1415570967527047,1.1189007625755323,1.1186836919057337,0.020503902657421733,-3.0315998742566004,0.9999999999999996,1000,1,,4,111.408,False,0.8145,False
False,0,5000,96,0.85,0.025,0.0225,5.811946409141117,9,3.1466215388216257,3.141612446016502,1.126444640706216,1.1128088441179245,0.021394207526038184,-3.0365791822111117,0.9999999999999997,1000,0,,1574,111.408,False,0.8145,False
