step,headed_mean_Theta,unheaded_mean_Theta,headed_rms,unheaded_rms,headed_bursts,unheaded_bursts
76,3.099514937119641,3.1575489247150337,1.0456553261644088,1.0308766024177942,0,0
77,3.175144638071418,3.1575757742147936,1.0130500263962643,1.0312010483278713,0,0
78,3.113784328028134,3.1576024840218495,0.9982024360027607,1.0315261064601804,0,0
79,3.1584800222661045,3.157629054704598,0.9792744381363466,1.0318517751157867,0,0
80,3.1321502150724676,3.157655486835115,0.9726202532633058,1.0321780525988176,0,0
81,3.142470749200239,3.1576817809891082,0.972111248379134,1.0325049372163653,0,0
82,3.147338666584954,3.157707937745865,0.9794216993679505,1.0328324272783873,0,0
83,3.1307348783366904,3.1577339576881975,0.993176052363932,1.0331605210976047,0,0
84,3.15688744556491,3.1577598414023953,1.0163007088238125,1.0334892169894003,0,0
85,3.123764246935418,3.1577855894781677,1.0390691470190212,1.0338185132717144,0,0
86,3.1619283076310816,3.1578112025085914,1.073959471190588,1.034148408264939,0,0
87,3.1196953314059797,3.157836681090053,1.1009454989924448,1.0344789002918122,0,0
88,3.165875670107166,3.1578620258221974,1.1410697335382187,1.0348099876773107,0,0
89,3.1155088326298923,3.1578872373078695,1.1672587719689576,1.0351416687485393,0,0
90,3.170920492711794,3.1579123161530536,1.2053295026280513,1.0354739418346237,0,0
91,3.1100206020140297,3.1579372629668234,1.2258679010416327,1.0358068052665976,0,0
92,3.177401433472981,3.1579620783612774,1.2543068232902455,1.036140257377293,0,0
93,3.103372971121695,3.157986762951483,1.2651862183754579,1.0364742965012272,0,0
94,3.184270546486544,3.1580113173554167,1.2750519005672911,1.0368089209744895,0,0
95,3.0971270114345226,3.158035742193903,1.2740531028484792,1.0371441291346286,0,0
96,3.188877131019428,3.1580600380905577,1.2588780211347415,1.0374799193205382,0,0
97,3.0935362488046594,3.1580842056717224,1.247437215218947,1.0378162898723429,0,0
98,3.190830128064178,3.1581082455664067,1.2104133201434233,1.038153239131283,0,0
99,3.092115528652497,3.158132158406225,1.192923027785371,1.0384907654395998,0,0
100,3.190972587687208,3.1581559448253365,1.1480860567824067,1.038828867140421,0,0
101,3.092541588361506,3.158179605460377,1.1309181216527147,1.0391675425776437,0,0
102,3.189034836609901,3.158203140950404,1.0916783481354724,1.0395067900958204,0,0
103,3.095276299310734,3.158226551936829,1.076740962805454,1.039846608040044,0,0
104,3.1829885455111793,3.158249839063353,1.0422166370296921,1.0401869947558309,0,0
105,3.1039066942301865,3.1582730029759074,1.0266292880684498,1.0405279485890073,0,0
106,3.1691148561877944,3.158296044322585,0.9975605964793243,1.0408694678855945,0,0
107,3.120741834262597,3.1583189637535782,0.9848701705857565,1.0412115509916937,0,0
108,3.1520472414478427,3.1583417619211147,0.9732180977412135,1.0415541962533716,0,0
109,3.138542274169581,3.158364439479392,0.9713788444084803,1.0418974020165486,0,0
110,3.137439433414615,3.158386997084515,0.9768163174492234,1.0422411666268836,0,0
111,3.1516212668083052,3.158409435394425,0.9902450983538965,1.042585488429663,0,0
112,3.1275629566797307,3.158431755068843,1.0080959751021443,1.0429303657696887,0,0
113,3.1591720200217375,3.158453956769197,1.0363454708145743,1.043275796991166,0,0
114,3.122065086944476,3.1584760411585613,1.0612336912128582,1.043621780437595,0,0
115,3.163378521051607,3.1584980089015886,1.0989811748222418,1.0439683144516594,0,0
116,3.1182259322023143,3.158519860664447,1.1262791771399105,1.0443153973751202,0,0
117,3.167617652661241,3.1585415971147515,1.1664638226778101,1.0446630275487065,0,0
118,3.113593626414541,3.158563218921502,1.191043581733641,1.0450112033120094,0,0
119,3.173230695391996,3.158584726755013,1.2264095793683523,1.0453599230033774,0,0
120,3.10759005633426,3.1586061212868546,1.2436982042807938,1.0457091849598117,0,0
121,3.180086755571624,3.1586274031897816,1.266190169897253,1.046058987516863,0,0
122,3.100807073366989,3.158648573137673,1.272638291067504,1.0464093290085312,0,0
123,3.186406891293782,3.1586696318054592,1.2733399863628854,1.046760207767163,0,0
124,3.0954124528428024,3.1586905798690665,1.2680219930919605,1.0471116221233545,0,0
125,3.189839118653414,3.158711418005345,1.2435808269631186,1.0474635704058535,0,0
126,3.0928055871109676,3.158732146892008,1.2291515266925102,1.0478160509414625,0,0
127,3.1911152493727335,3.1587527672075617,1.1870369343885097,1.0481690620549458,0,0
128,3.092038704070824,3.1587732796312493,1.1690249879112788,1.0485226020689342,0,0
129,3.190499598014751,3.1587936848429785,1.1254696767310615,1.048876669303836,0,0
130,3.0932472282791807,3.158813983523261,1.1092899174659825,1.0492312620777462,0,0
131,3.1875097460262523,3.1588341763531496,1.072552452175294,1.049586378706358,0,0
132,3.097486612339965,3.1588542640141717,1.0577162939766422,1.049942017502877,0,0
133,3.178553251915858,3.158874247188267,1.024018916172578,1.0502981767779374,0,0
134,3.1096427643008515,3.158894126557726,1.00850377992801,1.050654854839518,0,0
135,3.162644251605437,3.158913902805125,0.9851912574284342,1.0510120499928621,0,0
136,3.1278062940790634,3.1589335766132636,0.975879662009388,1.051369760540398,0,0
137,3.1460073307061296,3.1589531486651032,0.9712449098922536,1.0517279847816625,0,0
138,3.1441883375969204,3.1589726196437042,0.9748406189294195,1.0520867210132248,0,0
139,3.13311131347409,3.158991990232167,0.98558263987717,1.0524459675286144,0,0
140,3.155088786976085,3.159011261113564,1.0050871945457087,1.0528057226182492,0,0
141,3.1250567362584003,3.159030432970887,1.0261872513707415,1.053165984569366,0,0
142,3.16095317008339,3.1590495064869812,1.0587685002368838,1.0535267516659539,0,0
143,3.1205954202283697,3.1590684823444852,1.0851613992771785,1.0538880221886888,0,0
144,3.1648651500884326,3.159087361225773,1.1247063650331486,1.054249794414871,0,0
145,3.116619981570653,3.1591061438128936,1.1515560308705897,1.0546120666183625,0,0
146,3.1695684229564747,3.1591248307875115,1.1907781201169179,1.0549748370695309,0,0
147,3.1114709392416873,3.159143422830848,1.2130824761719707,1.0553381040351901,0,0
148,3.1757354568531397,3.159161920623623,1.2445994793666062,1.0557018657785475,0,0
149,3.10502844502304,3.1591803248459995,1.2581137848487371,1.0560661205591502,0,0
150,3.182717003433705,3.1591986361775213,1.2732816280702113,1.056430866632836,0,0
151,3.0984442140611392,3.159216855297059,1.2751531580029623,1.0567961022516845,0,0
152,3.188068287235218,3.1592349828827544,1.2661417800038948,1.057161825663972,0,0
153,3.094144838030808,3.15925301961196,1.2569134614031385,1.0575280351141274,0,0
154,3.1905195079726507,3.1592709661611913,1.2242651506631848,1.0578947288426903,0,0
155,3.092306491716409,3.1592888232060603,1.2076442884109917,1.0582619050862727,0,0
156,3.1911206713377225,3.1593065914212333,1.1630506565910312,1.0586295620775212,0,0
157,3.0922528341745092,3.159324271480367,1.1453751787237036,1.0589976980450835,0,0
158,3.189719959046608,3.1593418640560564,1.1043428102484583,1.0593663112135736,0,0
159,3.0943201563428198,3.159359369819788,1.0890464330825351,1.0597353998035437,0,0
160,3.185122713223384,3.159376789441879,1.0539432847660821,1.0601049620314547,0,0
161,3.1009494018483053,3.1593941235914293,1.0386748718134218,1.0604749961096502,0,0
162,3.1730153362538496,3.1594113729362667,1.0070809593181282,1.0608455002463344,0,0
163,3.116288057713279,3.159428538142901,0.9928678640745772,1.061216472645549,0,0
164,3.1560967503972788,3.159445619876467,0.9765879896459083,1.061587911507154,0,0
165,3.134564003084875,3.159462618800679,0.9716147630257131,1.0619598150268115,0,0
166,3.140550298696193,3.1594795355777756,0.9733582489282557,1.0623321813959699,0,0
167,3.1490017763155635,3.1594963708684793,0.9828827964608242,1.0627050088018515,0,0
168,3.1294937048566136,3.1595131253319373,0.9982334062222021,1.0630782954274427,0,0
169,3.157795210545791,3.1595297996256804,1.0233216860128862,1.0634520394514844,0,0
170,3.123102683130533,3.1595463944055737,1.0469345736519917,1.0638262390484658,0,0
171,3.1624637985275346,3.159562910325768,1.082987045990443,1.0642008923886215,0,0
172,3.119169127829908,3.1595793480386547,1.1101768023307397,1.0645759976379279,0,0
173,3.1664902686317156,3.159595708194819,1.1504423987592347,1.0649515529581046,0,0
174,3.1148320005187102,3.1596119914429948,1.176122206272867,1.0653275565066158,0,0
175,3.171740883659456,3.1596281984300174,1.2133318857517372,1.065704006436675,0,0
176,3.109150348130617,3.1596443298007855,1.2327453620727729,1.0660809008972503,0,0
177,3.17837994650408,3.1596603861982064,1.2591682868932061,1.0664582380330743,0,0
178,3.102421951276392,3.1596763682631637,1.2684583396226365,1.0668360159846528,0,0
179,3.185102430729435,3.1596922766344684,1.275069553435361,1.0672142328882783,0,0
180,3.0964463123560804,3.1597081119488166,1.2724536518002543,1.067592886876044,0,0
181,3.189268490984946,3.1597238748407492,1.2538016233869278,1.0679719760758597,0,0
182,3.0932400647118956,3.1597395659426097,1.2411907117363636,1.06835149861147,0,0
183,3.190965000546086,3.1597551858845034,1.202022570945027,1.0687314526024743,0,0
184,3.092054456653957,3.1597707352942597,1.1842253391362942,1.0691118361643492,0,0
185,3.190833629678611,3.1597862147973887,1.1396524283823044,1.0694926474084723,0,0
186,3.092762989309516,3.1598016250170424,1.1228345432262186,1.0698738844421467,0,0
187,3.188551633883423,3.1598169665739797,1.084584362602958,1.0702555453686298,0,0
188,3.095967147312384,3.1598322400865246,1.0697546559555564,1.0706376282871617,0,0
